A,532548,Centuryply(1),CENTURYPLY
A,532443,Cera Sanitar(5),CERA
A,500084,CESC Ltd.(1),CESC
A,500093,CG Power & Indus(2),CGPOWER
A,542399,Chalet Hotels Ltd,CHALET
A,500085,Chambal Fert,CHAMBLFERT
A,543336,Chemplast Sanmar(5),CHEMPLASTS
A,500110,Chennai Pet.,CHENNPETRO
A,531358,Choice Int.,CHOICEIN
A,511243,Chola.Inv&fin(2),CHOLAFIN
A,504973,Cholamandalam Fin(2),CHOLAHLDNG
A,532756,CIE Automotive India,CIEINDIA
A,534758,Cigniti Techno,CIGNITITEC
A,500087,Cipla Ltd(2),CIPLA
A,532210,City Union Bnk(1),CUB
A,543318,Clean Scien&Tech(1),CLEAN
A,543441,CMS Info Systems Ltd,CMSINFO
A,533278,Coal India Ltd,COALINDIA
A,540678,Cochin Shipyard(5),COCHINSHIP
A,532541,Coforge Ltd,COFORGE
A,500830,Colgate Palm(1),COLPAL
A,543232,Computer Age Manage,CAMS
A,526829,Confi Petro(1),CONFIPET
A,531344,Contain.Corp(5),CONCOR
A,506395,Coromand.Inter(1),COROMANDEL
A,538057,CPSE ETF GROWTH OPT,CPSEETF
A,543276,Craftsman Automat(5),CRAFTSMAN
A,541770,Credit Access Gram,CREDITACC
A,500092,CRISIL Rating(1),CRISIL
A,539876,Crompt.Grev.Cons(2),CROMPTON
A,542867,CSB Bank Ltd,CSBBANK
A,500480,Cummins Ind(2),CUMMINSIND
A,532175,Cyient Ltd(5),CYIENT
A,500096,Dabur India(1),DABUR
A,542216,Dalmia Bharat (2),DALBHARAT
A,543428,Data Patterns (2),DATAPATTNS
A,532528,Datamatic Glob(5),DATAMATICS
A,533160,DB Realty Ltd,DBREALTY
A,532772,DCB Bank Ltd,DCBBANK
A,523367,Dcm Shriram Ltd(2),DCMSHRIRAM
A,500645,Deepak Fert.,DEEPAKFERT
A,506401,Deepak Nitrit(2),DEEPAKNTR
A,543529,Delhivery Ltd (1),DELHIVERY
A,532848,Delta Corp (1),DELTACORP
A,543330,Devyani Inter(1),DEVYANI
A,500119,Dhampur Suga,DHAMPURSUG
A,532960,Dhani Services(2),DHANI
